Month_ID,Folder_ID,Tube_Number,Photo_ID,Vial Row Number,Colony_Male,Colony_Female,Temperature,Fertilized_eggs,Total_eggs,Tech,Note
October,2019OCT_Spawning(1-134),55,NA,33 and 34,C7,C14,31,NA,NA,NA,No Photo Present (DC 20200622)
October,2019OCT_Spawning(1-134),56,NA,33 and 34,C7,C14,31,NA,NA,NA,No Photo Present (DC 20200622)
October,2019OCT_Spawning(1-134),57,tube57_20191025,35 and 36,C8,C14,31,0,37,EF,
October,2019OCT_Spawning(1-134),58,tube58_20191025,35 and 36,C8,C14,31,0,43,EF,
October,2019OCT_Spawning(1-134),59,tube59_20191025,35 and 36,C8,C14,31,0,24,EF,
October,2019OCT_Spawning(1-134),60,tube60_20191025,35 and 36,C8,C14,31,2,11,EF,
October,2019OCT_Spawning(1-134),61,tube61_20191025,35 and 36,C8,C14,31,1,28,EF,
October,2019OCT_Spawning(1-134),62,NA,35 and 36,C8,C14,31,NA,NA,NA,No Photo Present (DC 20200622)
October,2019OCT_Spawning(1-134),63,tube63_20191025,35 and 36,C8,C14,31,0,1,EF,
October,2019OCT_Spawning(1-134),64,tube64_20191025,37 and 38,C8,C7,31,0,33,EF,
October,2019OCT_Spawning(1-134),65,tube65_20191025,37 and 38,C8,C7,31,0,65,EF,
October,2019OCT_Spawning(1-134),66,tube66_20191025,37 and 38,C8,C7,31,0,87,EF,
October,2019OCT_Spawning(1-134),67,tube67_20191025,37 and 38,C8,C7,31,0,72,EF,
October,2019OCT_Spawning(1-134),68,tube68_20191025,37 and 38,C8,C7,31,0,66,EF,
October,2019OCT_Spawning(1-134),69,tube69_20191025,37 and 38,C8,C7,31,0,72,EF,
October,2019OCT_Spawning(1-134),70,tube70_20191025,37 and 38,C8,C7,31,0,67,EF,
October,2019OCT_Spawning(1-134),71,tube71_20191025,39 and 40,C14,C7,31,27,52,AF,
October,2019OCT_Spawning(1-134),72,tube72_20191025,39 and 40,C14,C7,31,14,52,AF,
October,2019OCT_Spawning(1-134),73,tube73_20191025,39 and 40,C14,C7,31,13,25,AF,
October,2019OCT_Spawning(1-134),74,tube74_20191025,39 and 40,C14,C7,31,10,74,AF,
October,2019OCT_Spawning(1-134),75,tube75_20191025,39 and 40,C14,C7,31,20,46,EF,
October,2019OCT_Spawning(1-134),76,tube76_20191025,39 and 40,C14,C7,31,27,63,EF,
October,2019OCT_Spawning(1-134),77,tube77_20191025,39 and 40,C14,C7,31,13,42,EF,
October,2019OCT_Spawning(1-134),78,tube78_20191025,41 and 42,C14,C8,31,1,64,EF,
October,2019OCT_Spawning(1-134),79,tube79_20191025,41 and 42,C14,C8,31,3,92,EF,
October,2019OCT_Spawning(1-134),80,tube80_20191025,41 and 42,C14,C8,31,29,60,EF,
October,2019OCT_Spawning(1-134),81,tube81_20191025,41 and 42,C14,C8,31,22,79,EF,
October,2019OCT_Spawning(1-134),82,tube82_20191025,41 and 42,C14,C8,31,10,59,EF,
October,2019OCT_Spawning(1-134),83,tube83_20191025,41 and 42,C14,C8,31,5,73,EF,
October,2019OCT_Spawning(1-134),84,tube84_20191025,41 and 42,C14,C8,31,8,56,AF,
October,2019OCT_Spawning(135-204),145,tube145_20191026,31/32,C12,C14,31,0,32,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),146,tube146_20191026,31/32,C12,C14,31,1,45,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),147,tube147_20191026,31/32,C12,C14,31,0,48,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),148,tube148_20191026,31/32,C12,C14,31,0,59,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),149,tube149_20191026,31/32,C12,C14,31,1,33,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),150,tube150_20191026,31/32,C12,C14,31,0,58,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),151,tube151_20191026,31/32,C12,C14,31,0,39,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),152,tube152_20191026,31/32,C12,C14,31,0,20,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),153,tube153_20191026,31/32,C12,C14,31,1,59,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),154,tube154_20191026,31/32,C12,C14,31,0,62,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),155,tube155_20191026,33/34,C14,C12,31,0,61,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),156,tube156_20191026,33/34,C14,C12,31,1,63,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),157,tube158_20191026,33/34,C14,C12,31,0,71,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),158,tube158_1_20191026,33/34,C14,C12,31,0,80,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),159,tube159_20191026,33/34,C14,C12,31,0,75,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),160,tube160_20191026,33/34,C14,C12,31,0,66,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),161,tube161_20191026,33/34,C14,C12,31,3,67,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),162,tube162_20191026,33/34,C14,C12,31,4,97,AF,I was unsure of the date so I kept it the same
October,2019OCT_Spawning(135-204),163,tube163_20191026,33/34,C14,C12,31,1,80,AF,
October,2019OCT_Spawning(135-204),164,tube164_20191026,33/34,C14,C12,31,0,81,AF,
