Month_ID,Folder_ID,Tube_Number,Photo_ID,Colony Id (Male),Colony Id (Female),Temperature (C),Fertilized_eggs,Total_number,Tech,Note
October,2019OCT_Spawning(1-134),90,tube90_20191026,C12,C14,27,0,80,AF,
October,2019OCT_Spawning(1-134),91,tube91_20191026,C12,C14,27,0,65,AF,
October,2019OCT_Spawning(1-134),92,tube92_20191026,C12,C14,27,0,78,AF,
October,2019OCT_Spawning(1-134),93,tube93_20191026,C12,C14,27,1,60,AF,
October,2019OCT_Spawning(1-134),94,tube94_20191026,C12,C14,27,1,83,AF,
October,2019OCT_Spawning(1-134),95,tube95_20191026,C14,C12,27,0,97,AF,
October,2019OCT_Spawning(1-134),96,tube96_20191026,C14,C12,27,0,85,AF,
October,2019OCT_Spawning(1-134),97,tube97_20191026,C14,C12,27,0,100,AF,
October,2019OCT_Spawning(1-134),98,tube98_20191026,C14,C12,27,0,95,AM,
October,2019OCT_Spawning(1-134),99,tube99_20191026,C14,C12,27,1,111,AM,
October,2019OCT_Spawning(1-134),100,tube100_20191026,C14,C12,27,0,120,EF,
October,2019OCT_Spawning(1-134),101,tube101_20191026,C14,C12,27,0,116,EF,
October,2019OCT_Spawning(1-134),102,tube102_20191026,C14,C12,27,2,104,EF,
October,2019OCT_Spawning(1-134),103,tube103_20191026,C14,C12,27,0,91,EF,
October,2019OCT_Spawning(1-134),104,tube104_20191026,C14,C12,27,0,97,EF,
October,2019OCT_Spawning(1-134),105,tube105_20191026,mix,coral garden,27,0,80,EF,"Pink means MetaData are uncertain; not sure what distinction of ""mix"", ""wild"" or ""coral garden"" is"
October,2019OCT_Spawning(1-134),106,tube106_20191026,mix,coral garden,27,1,81,EF,
October,2019OCT_Spawning(1-134),107,tube107_20191026,mix,coral garden,27,1,85,EF,
October,2019OCT_Spawning(1-134),108,tube108_20191026,mix,coral garden,27,0,77,EF,
October,2019OCT_Spawning(1-134),109,tube109_20191026,mix,coral garden,27,0,67,EF,
October,2019OCT_Spawning(1-134),110,tube110_20191026,mix,coral garden,27,0,67,EF,
October,2019OCT_Spawning(1-134),111,tube111_20191026,mix,coral garden,27,0,59,EF,
October,2019OCT_Spawning(1-134),112,tube112_20191026,mix,coral garden,27,0,62,EF,
October,2019OCT_Spawning(1-134),113,tube113_20191026,mix,coral garden,27,1,50,EF,
October,2019OCT_Spawning(1-134),114,tube114_20191026,mix,coral garden,27,1,121,EF,
October,2019OCT_Spawning(1-134),115,tube115_20191026,mix,coral garden,27,0,66,EF,
October,2019OCT_Spawning(1-134),116,tube116_20191026,mix,coral garden,27,1,114,EF,
October,2019OCT_Spawning(1-134),117,tube117_20191026,mix,coral garden,27,0,111,EF,
October,2019OCT_Spawning(1-134),118,tube118_20191026,mix,coral garden,27,0,114,EF,
October,2019OCT_Spawning(1-134),119,tube119_20191026,mix,coral garden,27,1,66,EF,
October,2019OCT_Spawning(1-134),120,tube120_20191026,mix,coral garden,27,6,112,EF,
October,2019OCT_Spawning(1-134),121,tube121_20191026,mix,coral garden,27,0,47,EF,
October,2019OCT_Spawning(1-134),122,tube122_20191026,mix,coral garden,27,0,87,EF,
October,2019OCT_Spawning(1-134),123,tube123_20191026,mix,coral garden,27,0,113,EF,
October,2019OCT_Spawning(1-134),124,tube124_20191026,mix,coral garden,27,0,132,EF,
October,2019OCT_Spawning(1-134),125,tube125_20191026,mix,wild,27,0,86,EF,
October,2019OCT_Spawning(1-134),126,tube126_20191026,mix,wild,27,0,71,EF,
October,2019OCT_Spawning(1-134),127,tube127_20191026,mix,wild,27,0,51,EF,
October,2019OCT_Spawning(1-134),128,tube128_20191026,mix,wild,27,0,55,EF,
October,2019OCT_Spawning(1-134),129,tube129_20191026,mix,wild,27,0,106,EF,
October,2019OCT_Spawning(1-134),130,tube130_20191026,mix,wild,27,0,57,EF,
October,2019OCT_Spawning(1-134),131,tube131_20191026,mix,wild,27,0,69,EF,
October,2019OCT_Spawning(1-134),132,tube132_20191026,mix,wild,27,0,60,EF,
October,2019OCT_Spawning(1-134),133,tube133_20191026,mix,wild,27,0,56,EF,
October,2019OCT_Spawning(1-134),134,tube134_20191026,mix,wild,27,0,90,EF,
October,2019OCT_Spawning(135-204),135,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),136,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),137,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),138,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),139,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),140,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),141,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),142,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),143,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),144,,mix,wild,27,,,,
October,2019OCT_Spawning(135-204),145,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),146,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),147,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),148,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),149,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),150,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),151,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),152,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),153,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),154,,C12,C14,31,,,,
October,2019OCT_Spawning(135-204),155,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),156,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),157,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),158,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),159,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),160,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),161,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),162,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),163,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),164,,C14,C12,31,,,,
October,2019OCT_Spawning(135-204),165,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),166,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),167,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),168,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),169,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),170,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),171,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),172,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),173,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),174,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),175,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),176,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),177,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),178,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),179,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),180,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),181,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),182,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),183,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),184,,mix,coral garden,31,,,,
October,2019OCT_Spawning(135-204),185,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),186,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),187,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),188,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),189,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),190,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),191,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),192,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),193,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),194,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),195,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),196,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),197,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),198,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),199,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),200,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),201,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),202,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),203,,mix,wild,31,,,,
October,2019OCT_Spawning(135-204),204,,mix,wild,31,,,,
