Date.Crossed,Tube.Number,Vial Line,Male.Colony,Female.Colony,Temp.Treatment,Total.Eggs,Fert.Eggs,Notes
20201009,B30,6,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B31,7,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B32,7,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B33,7,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B34,7,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B35,7,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,31,,,
20201009,B36,8,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B37,8,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B38,8,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B39,8,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B40,8,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B41,9,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B42,9,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B43,9,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B44,9,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B45,9,Acy_Nurs_9,Acy_Nurs_7 Pooled,31,,,
20201009,B46,10,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B47,10,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B48,10,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B49,10,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B50,10,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B51,11,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B52,11,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B53,11,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B54,11,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B55,11,Acy_Nurs_3 Pooled,Acy_Nurs_9,31,,,
20201009,B56,12,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B57,12,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B58,12,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B59,12,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B60,12,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B61,13,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B62,13,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B63,13,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B64,13,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B65,13,Acy_Nurs_7 Pooled,Acy_Nurs_9,31,,,
20201009,B66,14,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B67,14,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B68,14,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B69,14,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B70,14,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B71,15,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B72,15,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B73,15,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B74,15,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B75,15,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B76,16,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B77,16,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B78,16,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B79,16,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B80,16,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,31,,,
20201009,B81,31,Linareva_71/72,Linareva_71/73,27,,,
20201009,B82,31,Linareva_71/72,Linareva_71/73,27,,,
20201009,B83,31,Linareva_71/72,Linareva_71/73,27,,,
20201009,B84,31,Linareva_71/72,Linareva_71/73,27,,,
20201009,B85,31,Linareva_71/72,Linareva_71/73,27,,,
20201009,B86,32,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B87,32,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B88,32,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B89,32,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B90,32,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B91,33,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B92,33,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B93,33,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B94,33,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B95,33,Acy_Nurs_7 Pooled,Acy_Nurs_3 Pooled,27,,,
20201009,B96,34,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B97,34,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B98,34,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B99,34,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B100,34,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B101,35,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B102,35,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B103,35,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B104,35,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B105,35,Acy_Nurs_9,Acy_Nurs_3 Pooled,27,,,
20201009,B106,36,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B107,36,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B108,36,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B109,36,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B110,36,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B111,37,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B112,37,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B113,37,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B114,37,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B115,37,Acy_Nurs_3 Pooled,Acy_Nurs_7 Pooled,27,,,
20201009,B116,38,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B117,38,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B118,38,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B119,38,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B120,38,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B121,39,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B122,39,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B123,39,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B124,39,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B125,39,Acy_Nurs_9,Acy_Nurs_7 Pooled,27,,,
20201009,B126,40,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B127,40,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B128,40,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B129,40,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B130,40,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B131,41,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B132,41,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B133,41,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B134,41,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B135,41,Acy_Nurs_3 Pooled,Acy_Nurs_9,27,,,
20201009,B136,42,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B137,42,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B138,42,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B139,42,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B140,42,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B141,43,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B142,43,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B143,43,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B144,43,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B145,43,Acy_Nurs_7 Pooled,Acy_Nurs_9,27,,,
20201009,B146,44,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B147,44,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B148,44,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B149,44,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B150,44,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B151,45,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B152,45,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B153,45,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B154,45,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B155,45,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B156,46,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B157,46,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B158,46,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B159,46,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201009,B160,46,Acy_Nurs_All Pooled,Acy_Nurs_All Pooled,27,,,
20201014,C1,113,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C2,113,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C3,113,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C4,113,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C5,113,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C6,114,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C7,114,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C8,114,Apul_Nurs_1,Apul_Nurs_14,27,,,
20201014,C11,115,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C12,115,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C13,115,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C14,115,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C15,115,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C16,116,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C17,116,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C18,116,Apul_Nurs_14,Apul_Nurs_1,27,,,
20201014,C21,1,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C22,1,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C23,1,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C24,1,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C25,1,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C26,2,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C27,2,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C28,2,Apul_Nurs_1,Apul_Nurs_14,31,,,
20201014,C31,3,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C32,3,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C33,3,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C34,3,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C35,3,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C36,4,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C37,4,Apul_Nurs_14,Apul_Nurs_1,31,,,
20201014,C38,4,Apul_Nurs_14,Apul_Nurs_1,31,,,
